Oh17_group_id,tgas_source_id,name,ra,dec,parallax,distance,G,J,rv,rv_err
3983,1481186095558597632,TYC 2559-869-1,217.0580728239249,36.62999555821972,8.593590489147047,116.76315611871996,9.360480656950898,8.456000328063965,-36.948144736689095,19.224240361602384
3983,1488177134085700992,TYC 3036-136-1,218.46850788593588,39.74995454098312,8.859596497806487,113.8429929833367,9.411135157839514,8.442000389099121,-42.75738989750086,19.324699636832133
4009,3399697134268720512,TYC 1307-1436-1,87.59751636346338,20.004999019655944,6.10387278073838,164.8236735128741,9.86293417933159,9.01200008392334,-3.4984791742315515,19.33729236842843
4009,3399694316770173696,TYC 1307-254-1,87.61765943258484,20.016675946694193,6.090132947637565,165.3933001412322,11.307875289454026,10.187999725341797,3.410377992733764,19.341949548160816
4011,3853911744254655616,HIP 48165,147.26215577568553,7.8187455404833965,23.586916963672614,42.49053878942556,9.413733676505608,7.954999923706055,-1.1384264050935027,19.418153254254598
4011,3884088253196024832,HIP 51208,156.89400720879019,12.979679807773012,25.069154251007742,40.01281122288942,10.100554724303624,8.41100025177002,46.29255690728855,20.64814793659579
4018,867930976906273792,TYC 1916-936-1,116.86860498981771,24.775698432196158,6.508654702005984,154.55087276293168,9.479371612624096,8.47599983215332,1.9148474874675045,19.557121236303875
4018,872200552355231104,HD 61397,115.04211136631858,27.31518128518424,6.656038654838838,151.4294607438379,7.896941769450489,6.423999786376953,-15.464928834768564,20.88468255538975
4024,1485854450131214208,TYC 3038-814-1,213.9509166673897,40.12445114355889,7.701100008978227,130.52828976776587,10.536347641432464,9.442999839782715,-32.98506908989283,19.260061293357175
4024,1485280436341972992,HD 124185,212.75083842031322,38.59356482725164,8.269383174408318,121.34869685723926,8.944332932715213,8.04800033569336,-11.063395570236441,19.20801786975341
4042,1325772978831105024,TYC 2584-1287-1,247.32369140241482,33.254540361581064,6.404994911843713,157.03567657744006,11.59941510797812,10.440999984741211,-18.635385999633797,19.34147533738871
4042,1327229900457670656,TYC 2588-443-1,250.60474986803501,35.475248895144766,6.507549857281873,154.47225546973326,11.30506565808104,10.168000221252441,-36.1710659930121,19.41224029306015
