hip,bibcode,nbmes,obsdate,qual,quality,velType,velValue,velValue_prec,remark,remarks,oidref,hipnospace
HIP   3026,1964ApJ...139..442S,1.0,,,,v  ,-41.900001525878906,1.0,,,1345707,HIP3026
HIP   3026,1965MNRAS.129...63P,3.0,,,,v  ,-48.400001525878906,1.0,,,1345707,HIP3026
HIP   3026,1979IAUS...30...57E,7.0,,,A,v  ,-49.70000076293945,1.0,,##,1345707,HIP3026
HIP   3026,2000AJ....119.2866B,,,,,v  ,-53.0,0.0,,,1345707,HIP3026
HIP   3026,2002AJ....124.1144L,,,,A,V  ,-48.2,2.0,,,1345707,HIP3026
HIP   3026,2002AJ....124.1144L,13.0,,,A,v  ,-48.20000076293945,1.0,,,1345707,HIP3026
HIP   3086,2007A&A...465..271R,,,,A,v  ,-27.9,1.0,,,1404740,HIP3086
HIP   3086,1914ApJ....39..341.,3.0,,,,v  ,-29.0,1.0,,,1404740,HIP3086
HIP   3086,1953GCRV..C......0W,3.0,,,B,v  ,-28.299999237060547,1.0,,##,1404740,HIP3086
HIP   3086,1969AJ.....74..908A,9.0,,,,v  ,-30.200000762939453,1.0,,,1404740,HIP3086
HIP   3086,2002AJ....124.1144L,53.0,,,A,v  ,-27.209999084472656,2.0,,,1404740,HIP3086
HIP   3086,2002AJ....124.1144L,,,,A,V  ,-27.21,2.0,,,1404740,HIP3086
HIP   3086,2004A&A...418..989N,8.0,,,A,v  ,-27.899999618530273,1.0,,,1404740,HIP3086
HIP   3142,2013A&A...552A..64S,,,,A,z  ,-12.215,3.0,,,1209786,HIP3142
HIP   3142,2006AstL...32..759G,,,,A,V  ,-12.4,2.0,,,1209786,HIP3142
HIP   3142,2004A&A...418..989N,3.0,,,A,v  ,-12.199999809265137,1.0,,,1209786,HIP3142
HIP   3142,1979IAUS...30...57E,5.0,,,B,v  ,-11.399999618530273,1.0,,##,1209786,HIP3142
HIP   3142,1965MNRAS.131...95P,5.0,,,,v  ,-11.399999618530273,1.0,,,1209786,HIP3142
HIP   3142,1952ApJ...116..654S,36.0,,,,v  ,-13.800000190734863,1.0,,,1209786,HIP3142
HIP   3170,1961RGOB...48..389E,4.0,,,,v  ,3.200000047683716,1.0,,,3231262,HIP3170
HIP   3170,1965MNRAS.131...95P,6.0,,,,v  ,0.800000011920929,1.0,,,3231262,HIP3170
HIP   3170,1979IAUS...30...57E,10.0,,,B,v  ,1.5,1.0,,##,3231262,HIP3170
HIP   3170,2004A&A...418..989N,3.0,,,A,v  ,2.799999952316284,1.0,,,3231262,HIP3170
HIP   3170,2005ApJS..159..141V,,,,A,V  ,3.5,2.0,,,3231262,HIP3170
HIP   3182,17AJ....153...7521K,1.0,53611.692,B,B,v  ,35.61,2.0,,,1243242,HIP3182
HIP   3182,2006AstL...32..759G,,,,A,V  ,37.5,2.0,,,1243242,HIP3182
HIP   3182,2004A&A...418..989N,2.0,,,A,v  ,37.400001525878906,1.0,,,1243242,HIP3182
HIP   3185,17AJ....153...7521K,1.0,54728.681,A,A,v  ,-46.35,2.0,,,1278055,HIP3185
HIP   3185,2015A&A...574A..50J,,,A,,V  ,-45.77,2.0,,,1278055,HIP3185
HIP   3185,2013A&A...554A..84M,,,,B,V  ,-48.21,2.0,,,1278055,HIP3185
HIP   3185,2007A&A...465..271R,,,,A,v  ,-48.2,1.0,,,1278055,HIP3185
HIP   3185,2011A&A...531A...8J,,,,B,v  ,-46.2,1.0,,,1278055,HIP3185
HIP   3185,2004A&A...418..989N,8.0,,,A,v  ,-48.20000076293945,1.0,,,1278055,HIP3185
HIP   3185,2002ApJS..141..503N,,,,A,V  ,-46.6,2.0,,,1278055,HIP3185
HIP   3185,1979IAUS...30...57E,7.0,,,B,v  ,-53.099998474121094,1.0,,##,1278055,HIP3185
HIP   3185,1965MNRAS.131...95P,2.0,,,,v  ,-53.599998474121094,1.0,,,1278055,HIP3185
HIP   3185,1953GCRV..C......0W,5.0,,,B,v  ,-52.900001525878906,1.0,,##,1278055,HIP3185
HIP   3185,1923ApJ....57..149A,5.0,,,,v  ,-53.400001525878906,1.0,,,1278055,HIP3185
HIP   3391,2004A&A...418..989N,4.0,,,A,v  ,4.0,1.0,,,1197161,HIP3391
HIP   3391,2011AAS...21743412C,,,,A,V  ,4.68,2.0,,,1197161,HIP3391
HIP   3479,2013A&A...552A..64S,,,,A,z  ,56.797,3.0,,,1257939,HIP3479
HIP   3479,2004A&A...418..989N,4.0,,,A,v  ,56.20000076293945,1.0,,,1257939,HIP3479
HIP   3479,2002ApJS..141..503N,,,,A,V  ,56.77,2.0,,,1257939,HIP3479
HIP   3479,1979IAUS...30...57E,4.0,,,B,v  ,55.400001525878906,1.0,,##,1257939,HIP3479
HIP   3479,1966RGOB..110..185E,4.0,,,,v  ,55.400001525878906,1.0,,,1257939,HIP3479
HIP   3497,2013A&A...552A..64S,,,,A,z  ,95.251,3.0,,,3261446,HIP3497
HIP   3497,2006A&A...447..361U,,,,A,V  ,95.25,2.0,,,3261446,HIP3497
HIP   3497,2004A&A...418..989N,4.0,,,A,v  ,95.0999984741211,1.0,,,3261446,HIP3497
HIP   3497,1979IAUS...30...57E,10.0,,,C,v  ,97.69999694824219,1.0,,##,3261446,HIP3497
HIP   3497,1966RGOB..110..185E,4.0,,,,v  ,95.30000305175781,1.0,,,3261446,HIP3497
HIP   3497,1965MNRAS.131...95P,6.0,,,,v  ,101.5999984741211,1.0,,,3261446,HIP3497
HIP   3704,2004A&A...418..989N,5.0,,,A,v  ,-39.0,1.0,,,1197594,HIP3704
HIP   3704,2006AstL...32..759G,,,,A,V  ,-39.1,2.0,,,1197594,HIP3704
HIP   3734,2002AJ....124.1144L,12.0,,,A,v  ,-3.0399999618530273,2.0,,,1334913,HIP3734
HIP   3734,2002AJ....124.1144L,,,,A,V  ,-3.04,2.0,,,1334913,HIP3734
HIP   3734,2004A&A...418..989N,4.0,,,A,v  ,-3.200000047683716,1.0,,,1334913,HIP3734
HIP   3909,1923ApJ....57..149A,4.0,,,,v  ,7.099999904632568,1.0,,,1334545,HIP3909
HIP   3909,1928AnCap..10h...1J,3.0,,,,v  ,5.400000095367432,1.0,,,1334545,HIP3909
HIP   3909,1928PLicO..16....1C,4.0,,,,v  ,8.600000381469727,1.0,,,1334545,HIP3909
HIP   3909,1953GCRV..C......0W,11.0,,,A,v  ,7.699999809265137,1.0,,##,1334545,HIP3909
HIP   3909,1999VeARI..35....1W,,,,,v  ,8.100000381469727,1.0,,,1334545,HIP3909
HIP   3909,2004A&A...418..989N,17.0,,,A,v  ,8.100000381469727,1.0,,,1334545,HIP3909
